SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;LOC_CODE;State_Code;State_Name;District_C;Dist_Name;Tehsil_Cod;Thsil_Name;Block_Code;Nyay_Panch;Village_Co;NAME_1;AREA;RES_HOUSE;HOUSEHOLDS;T_POPLN;T_M_POPLN;T_F_POPLN;POPLN_M6;POPLN_F6;M_SC;F_SC;M_ST;F_ST;M_LITERATE;F_LITERATE;T_M_WORKER;T_F_WORKER;M_INDCAT1;F_INDCAT1;M_INDCAT2;F_INDCAT2;M_INDCAT3;F_INDCAT3;M_INDCAT4;F_INDCAT4;M_INDCAT5A;F_INDCAT5A;M_INDCAT5B;F_INDCAT5B;M_INDCAT6;F_INDCAT6;M_INDCAT7;F_INDCAT7;M_INDCAT8;F_INDCAT8;M_INDCAT9;F_INDCAT9;M_MARGINAL;F_MARGINAL;M_NON_WORK;F_NON_WORK;State_Co_1;State_Na_1;District_1;Dist_Name_;Tehsil_C_1;Thsil_Na_1;Block_co_1;Village__1;Village_Na;MRGD_IN_TN;EDU_INST;RANG_EDU;P_SCH;M_SCH;H_SCH;PU_COLL;GR_COLL;IND_SCH;TR_SCH;ADLT_LT_CN;OTH_SCH;MED_INST;RANG_MED;H_CNTR;MCW_CNTR;MH_CNTR;CWC_CNTR;HC_CNTR;PHC_CNTR;PHS_CNTR;DISP_CNTR;FPC_CNTR;TB_CNTR;NH_CNTR;RP_CNTR;SMP_CNTR;CHW_CNTR;OTH_CNTR;DRNK_WAT;RANG_WAT;TAP;WELL;TANK;TUBE_WELL;HAND_PUMP;RIVER_WAT;FOUNTAIN;CANAL;LAKE;SPRING;NALA;OTH_FAC;PNT_FAC;RANG_PNT;PO;TO;PTO;PHONE;MRKT_FAC;RANG_MRKT;MK_MON;MKT_TUE;MK_WED;MK_THU;MK_FRI;MK_SAT;MK_SUN;MK_DAILY;MK_FORT;MK_MONTHLY;COMM_FAC;RANG_COMM;COMM_BS;TX_TEMP_FC;COMM_RS;COMM_NW;APP_PR;APP_KR;APP_NR;APP_NC;APP_NW;APP_FP;NEAR_TOWN;DIST_N_TWN;POWER_SUPL;POWER_ED;POWER_EAG;POWER_EO;POWER_EA;FOREST;IRR_GC;IRR_PC;IRR_W;IRR_WE;IRR_TW;IRR_TWE;IRR_TK;IRR_R;IRR_L;IRR_WF;IRR_O;IRR_TOTAL;UN_IRRIGAT;CULT_WASTE;N_AV_CULT;Area_vill_;HOUSEHOLD;TOT_POPLN;res_house_;FOUNT_IRR;NOT_AVAIL;loc_code_v;AGRI_LAND;ST_TOWN;CHK;CHC_CNTR
15;05;;;;RAMLAITUI;260413;260413;2e+16;15;Mizoram;2;Lunglei;30;LUNGLEI;30;30;4;RAMLAITUI;0;59;59;342;186;156;46;38;0;0;184;155;123;84;75;55;66;52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;27;32;84;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;CHHIPPHIR;260415;260415;2e+16;15;Mizoram;2;Lunglei;30;LUNGLEI;30;30;5;CHHIPPHIR;0;197;197;1179;568;611;122;114;0;0;561;607;423;441;249;188;194;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;14;0;0;319;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;05;;;;LENG;260416;260416;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;30;LENG;0;100;100;591;295;296;60;57;0;0;295;296;222;205;121;116;100;111;0;0;0;0;0;0;1;0;1;0;0;0;1;1;2;0;16;4;1;0;173;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;05;;;;ZAWLSEI;260417;260417;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;31;ZAWLSEI;0;65;65;390;192;198;23;26;0;0;192;198;151;133;89;47;77;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;54;78;49;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;04;;;;SAMTHANG;260418;260418;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;19;SAMTHANG;0;135;135;833;419;414;80;83;1;1;418;413;336;320;180;165;159;159;1;0;0;0;0;0;0;0;5;0;0;0;2;1;0;0;13;5;77;89;162;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;HMUNDO;260419;260419;2e+16;15;Mizoram;2;Lunglei;10;WEST BUNGHMUN;10;10;46;HMUNDO;0;25;25;153;76;77;17;19;0;0;76;77;2;0;49;9;49;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;DEVASURI;260420;260420;2e+16;15;Mizoram;2;Lunglei;10;WEST BUNGHMUN;10;10;26;DEVASURI;0;89;89;627;318;309;68;59;0;0;309;309;38;3;155;114;139;105;5;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;163;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;RAWPUI;260421;260421;2e+16;15;Mizoram;2;Lunglei;40;HNAHTHIAL;40;40;1;RAWPUI;0;116;116;641;332;309;61;58;0;0;329;308;259;224;130;41;106;32;0;0;0;1;0;0;4;0;0;0;0;0;2;0;0;0;18;8;50;130;152;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;04;;;;VAPHAI;260422;260422;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;18;VAPHAI;0;282;282;1686;861;825;176;156;0;0;829;825;646;535;395;350;304;333;0;0;0;0;0;0;1;0;6;0;0;0;6;8;4;0;74;9;6;32;460;443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;05;;;;BAWKTLANG;260424;260424;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;29;BAWKTLANG;0;24;24;180;94;86;20;25;0;0;94;86;71;52;34;33;32;30;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;8;3;52;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;SEKHUM;260425;260425;2e+16;15;Mizoram;2;Lunglei;30;LUNGLEI;30;30;6;SEKHUM;0;32;32;167;86;81;19;11;0;0;86;81;55;57;42;34;40;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;11;16;33;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;SERTLANGPUI;260426;260426;2e+16;15;Mizoram;2;Lunglei;10;WEST BUNGHMUN;10;10;38;SERTLANGPUI;0;85;85;525;268;257;47;64;0;0;259;257;213;154;135;121;102;116;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;23;5;0;0;133;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;SACHAN;260427;260427;2e+16;15;Mizoram;2;Lunglei;10;WEST BUNGHMUN;10;10;20;SACHAN;0;135;135;714;376;338;85;91;2;0;361;338;158;13;210;3;188;3;0;0;0;0;0;0;0;0;0;0;15;0;2;0;0;0;5;0;0;0;166;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;06;;;;LUNGCHEM;260428;260428;2e+16;15;Mizoram;2;Lunglei;10;WEST BUNGHMUN;10;10;17;LUNGCHEM;0;58;58;336;176;160;40;37;0;0;170;160;132;98;82;76;58;73;1;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;18;3;0;1;94;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;05;;;;LUNGCHHUAN;260429;260429;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;28;LUNGCHHUAN;0;85;85;540;251;289;53;55;0;0;251;289;193;218;132;140;114;137;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;12;3;1;0;118;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;04;;;;SAILULAK;260432;260432;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;38;SAILULAK;0;119;119;678;333;345;81;66;0;0;332;344;220;226;147;168;133;167;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;1;6;5;180;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;04;;;;KHUANGTHING;260433;260433;1.01e+16;15;Mizoram;1;Aizawl;120;EAST LUNGDAR;120;120;37;KHUANGTHING;0;184;184;1171;589;582;120;124;0;0;579;582;410;345;277;223;241;214;5;4;0;0;0;0;1;0;3;0;0;0;1;1;0;0;26;4;30;22;282;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
